userId,genre_rank,genre,genre_rating_count
28,1,Drama,1373
28,2,Comedy,1118
28,3,Action,722
188,1,Drama,1089
188,2,Comedy,1013
188,3,Romance,530
265,1,Comedy,941
265,2,Thriller,821
265,3,Horror,769
354,1,Drama,752
354,2,Comedy,369
354,3,Thriller,327
360,1,Comedy,508
360,2,Drama,446
360,3,Action,340
447,1,Drama,529
447,2,Action,392
447,3,Thriller,372
527,1,Drama,545
527,2,Comedy,536
527,3,Action,386
547,1,Comedy,510
547,2,Action,378
547,3,Drama,292
588,1,Drama,562
588,2,Comedy,388
588,3,Romance,302
655,1,Drama,842
655,2,Thriller,464
655,3,Comedy,322
661,1,Drama,699
661,2,Thriller,639
661,3,Action,324
702,1,Comedy,458
702,2,Drama,427
702,3,Thriller,223
909,1,Drama,606
909,2,Comedy,432
909,3,Action,351
982,1,Drama,641
982,2,Comedy,443
982,3,Thriller,295
1025,1,Action,458
1025,2,Comedy,380
1025,3,Drama,318
1048,1,Drama,1831
1048,2,Thriller,855
1048,3,Action,798
1050,1,Drama,638
1050,2,Comedy,295
1050,3,Thriller,273
1057,1,Drama,607
1057,2,Comedy,405
1057,3,Action,397
1069,1,Drama,452
1069,2,Action,391
1069,3,Thriller,379
1140,1,Drama,710
1140,2,Thriller,433
1140,3,Comedy,412
1411,1,Comedy,1243
1411,2,Drama,1113
1411,3,Romance,687
1421,1,Drama,908
1421,2,Comedy,654
1421,3,Action,536
1522,1,Drama,831
1522,2,Comedy,287
1522,3,Thriller,255
1551,1,Drama,1203
1551,2,Comedy,758
1551,3,Thriller,507
1617,1,Thriller,1044
1617,2,Drama,960
1617,3,Action,671
1668,1,Drama,1168
1668,2,Thriller,963
1668,3,Comedy,618
1735,1,Drama,652
1735,2,Comedy,603
1735,3,Action,391
1739,1,Action,707
1739,2,Thriller,666
1739,3,Comedy,609
1766,1,Comedy,566
1766,2,Drama,548
1766,3,Romance,292
1842,1,Drama,454
1842,2,Action,416
1842,3,Thriller,376
1860,1,Drama,675
1860,2,Comedy,506
1860,3,Thriller,380
1920,1,Drama,621
1920,2,Action,482
1920,3,Comedy,464
1953,1,Drama,681
1953,2,Comedy,603
1953,3,Romance,289
2268,1,Comedy,632
2268,2,Drama,345
2268,3,Action,278
2364,1,Drama,1005
2364,2,Comedy,697
2364,3,Action,514
2421,1,Drama,1141
2421,2,Comedy,684
2421,3,Action,449
2471,1,Drama,535
2471,2,Thriller,507
2471,3,Action,424
2704,1,Drama,1122
2704,2,Comedy,927
2704,3,Romance,467
2707,1,Comedy,394
